Contributer,Contribute to Kfrat
Summer Hardcore 1,Survive the first Summer Hardcore
Summer Hardcore 2,Survive the second Summer Hardcore
Summer Hardcore 3,Survive the third Summer Hardcore
Energy Server Champoin,Win the Energy Server
Super Server,Make something for the Super Server
Rich 1, Optain K$1000
Rich 2, Optain K$10000
Rich 3, Optain K$100000
Beef Dip Tier 1, Be a tier 1 beef dipper
Beef Dip Tier 2, Be a tier 2 beef dipper
Beef Dip Tier 3, Be a tier 3 beef dipper
Beef Dip Tier 4, Be a tier 4 beef dipper
Beef Dip Tier 5, Be a tier 5 beef dipper
Multi-level Marketing, Make K$1000 in interest in one day
Ultra Lucky Man, Get super lucky
Rigged ass game, Lose 5 coinflips in a row
Let it ride!, Win going all in on roulette 3 times in a row
You can't count cards, Win 10 games of blackjack in a row
GOLD GOLD GOLD!!!,Get a gold from a CS2 case
Badge-smith,create a special Badge
AI assistant,help develoup Kfrat AI
Secret Achievement 1,???
Secret Achievement 2,???
Secret Achievement 3,???
